Player,Position,Age,Minutes,Goals,Assists,PK,PKatt,Shots,SoT,CrdY,CrdR,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Accuracy,Prog_Passes,Carries,Prog_Carries,Take_Ons_Att,Take_Ons_Succ,SofaScore_Rating
Antonio Rüdiger,Defender,32,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,2,0,50,56,89.3,1,47,1,0,0,6.2
Raúl Asencio,Defender,22,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.0,0,0,25,31,80.6,1,22,0,0,0,6.3
Federico Valverde,Defender,26,90,0,0,0,0,0,0,0,0,49,3,0,0,0.0,0.0,0.0,2,0,43,46,93.5,3,35,3,0,0,6.9
Julián Álvarez,Attacker,24,78,2,0,0,0,4,2,0,0,46,1,1,0,0.5,0.5,0.7,6,2,31,34,91.2,6,24,7,5,2,9.5
Ángel Correa,Attacker,29,12,2,0,0,0,2,2,0,0,10,0,0,0,1.1,1.1,0.0,5,3,7,8,87.5,3,4,2,2,2,9.2
Alexander Sørloth,Attacker,28,58,0,0,0,0,2,1,0,0,26,0,1,0,0.7,0.7,0.1,3,0,13,17,76.5,4,16,1,2,1,6.5
Antoine Griezmann,Attacker,33,32,1,0,0,0,2,1,0,0,33,0,0,0,0.1,0.1,0.0,2,1,30,31,96.8,1,16,1,0,0,7.5
Conor Gallagher,Midfielder,24,90,0,1,0,0,4,1,0,0,54,1,2,2,0.1,0.1,0.0,1,1,42,42,100.0,3,35,2,1,0,7.5
Pablo Barrios,Midfielder,21,78,0,0,0,0,0,0,1,0,86,2,2,0,0.0,0.0,0.0,5,0,74,81,91.4,6,59,1,2,2,7.4
Koke,Midfielder,32,12,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,12,12,100.0,2,6,1,0,0,6.8
Rodrigo De Paul,Midfielder,30,78,0,0,0,0,2,1,0,0,94,1,0,0,0.1,0.1,0.3,7,0,74,86,86.0,8,63,2,0,0,7.6
Samuel Lino,Midfielder,24,12,0,1,0,0,1,0,0,0,18,1,0,1,0.1,0.1,0.6,0,0,11,12,91.7,1,13,3,1,0,7.3
Giuliano Simeone,Midfielder,21,78,0,1,0,0,3,1,0,0,46,1,1,0,0.3,0.3,0.3,4,1,32,38,84.2,3,25,3,2,1,7.8
Rodrigo Riquelme,Midfielder,24,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,2,0,5,7,71.4,1,6,2,1,0,6.6
Javi Galán,Defender,30,90,0,0,0,0,1,0,0,0,89,1,1,0,0.0,0.0,0.1,4,0,69,81,85.2,5,64,5,6,2,7.3
Clément Lenglet,Defender,29,90,0,0,0,0,0,0,0,0,74,0,0,0,0.0,0.0,0.0,1,0,68,73,93.2,3,50,0,1,1,7.0
José María Giménez,Defender,29,90,0,0,0,0,0,0,0,0,83,2,1,0,0.0,0.0,0.0,1,0,67,76,88.2,4,58,0,0,0,7.2
Marcos Llorente,Defender,29,90,1,2,0,0,3,1,0,0,98,4,0,0,0.1,0.1,0.6,4,2,78,88,88.6,8,59,3,1,1,9.5
Albion Rrahmani,Attacker,24,59,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,3,0,2,0,6.3
Victor Olatunji,Attacker,25,31,0,0,0,0,1,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,1,1,0,0,0,6.6
Lukáš Haraslín,Attacker,28,26,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.1,2,0,5,5,100.0,0,5,1,0,0,6.7
Jakub Pesek,Attacker,31,52,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,0,0,9,14,64.3,0,6,0,1,0,6.2
David Pavelka,Midfielder,33,12,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,2,0,0,0,6.5
Ermal Krasniqi,Midfielder,26,59,0,0,0,0,0,0,0,0,19,2,2,0,0.0,0.0,0.0,0,0,8,14,57.1,0,11,0,1,0,6.2
Indrit Tuci,Attacker,24,31,0,0,0,0,0,0,0,0,11,0,0,2,0.0,0.0,0.0,0,0,8,8,100.0,0,5,0,0,0,6.4
Matěj Ryneš,Midfielder,23,90,0,0,0,0,0,0,0,0,46,1,1,1,0.0,0.0,0.0,1,0,34,42,81.0,2,22,0,0,0,5.9
Qazim Laçi,Midfielder,28,78,0,0,0,0,0,0,0,0,55,1,2,0,0.0,0.0,0.1,1,0,40,46,87.0,2,31,0,1,0,6.8
Markus Solbakken,Midfielder,24,12,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,4,0,1,0,6.1
Kaan Kairinen,Midfielder,25,90,0,0,0,0,1,1,0,0,50,2,0,0,0.1,0.1,0.0,2,0,44,46,95.7,4,28,1,0,0,6.5
Tomáš Wiesner,Midfielder,27,90,0,0,0,0,0,0,0,0,51,1,2,2,0.0,0.0,0.0,0,0,35,42,83.3,2,18,1,1,0,6.3
Mathias Ross,Defender,23,90,0,0,0,0,0,0,0,0,75,2,0,1,0.0,0.0,0.0,0,0,59,65,90.8,1,44,1,0,0,5.9
Filip Panák,Defender,29,90,0,0,0,0,2,1,0,0,89,2,2,2,0.1,0.1,0.0,1,0,66,72,91.7,4,52,0,0,0,6.4
